company_number,company_name,company_status,incorporation_date,sic_codes,registered_office_address,eligible_directors,company_type,companies_house_turnover,hmrc_turnover,last_accounts_date,category,vat_number
15458391,ALPHA WASTE MANAGEMENT LIMITED,active,,"38110, 49420, 81210, 81222","5 Welbeck Avenue, Bromley, BR1 5DN, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
12754416,ARBEIA CLEANING AND WASTE MANAGEMENT LTD,active,,81210,"8 Lane Corner, South Shields, Tyne And Wear, NE34 0XA, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15377208,CLEAN SWEEP WASTE MANAGEMENT LIMITED,active,,81210,"10 Hawker Drive, Birmingham, B35 7EG, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15072533,FIRST CLEANING AND WASTE MANAGEMENT LIMITED,active,,81210,"Suite G04 1 Quality Court, Chancery Lane, London, WC2A 1HR, England","DENSU, Felix (Age: 58, Appointed: 2023-08-15)",,Not available,Not available,Not available,Cleaning,Not available
15111083,CLEANING SERVICES LIMITED,active,,81210,"84 St. Stephens Road, London, E3 5JL, England","LUHAR, Ramesh (Age: 61, Appointed: 2023-09-03)",,Not available,Not available,Not available,Cleaning,Not available
00566917,CLEANING SERVICES LIMITED,dissolved,,81210,"3rd Floor Paternoster House, 65 St Paul's Churchyard, London, EC4M 8AB","LOWEN, David (Age: 82, Appointed: ); LOWEN, Raymond (Age: 72, Appointed: )",,Not available,Not available,Not available,Cleaning,Not available
SC733991,CLEANING SERVICES A & W LTD,dissolved,,"81210, 81299","5 Tyndrum Place, Kirkcaldy, KY2 6LU, Scotland",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
06328757,CLEANING SERVICES & IMPROVEMENTS LIMITED,active,,81210,"124 City Road, London, EC1V 2NX, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
NI706936,CLEANING SERVICES AND SOLUTIONS LTD,active,,"81210, 81222, 81299, 81300","60 Leyland Drive, Ballycastle, BT54 6FP, Northern Ireland",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14414650,CLEANING SERVICES AZ LTD,dissolved,,81210,"Lowershott Nursery Sedge Green, Roydon, Harlow, Essex, CM19 5JS, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15007211,CLEANING SERVICES BY LARY LTD,active,,"43999, 81210, 81221, 81222","24 Victory Road, Coventry, West Midlands, CV6 5JE, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
11940530,CLEANING SERVICES COVENTRY LIMITED,active,,"81210, 81299","1 Pauline Avenue, Coventry, CV6 7DH, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
SC788242,CLEANING SERVICES FIFE LTD,active,,81210,"18-20 North Street, Glenrothes, KY7 5NA, Scotland","WELSH, David Andrew (Age: 50, Appointed: 2023-11-24)",,Not available,Not available,Not available,Cleaning,Not available
12121728,CLEANING SERVICES 4 U LTD,active,,81210,"117 Steers Croft, Liverpool, L28 8AJ, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15736208,CLEANING SERVICES 4 YOU LTD,active,,"81210, 81221, 81222, 81229","20a Wostenholm Road, Sheffield, S7 1LJ, England","ISMAIL, Ghiuldiuran (Age: 54, Appointed: 2024-05-22)",,Not available,Not available,Not available,Cleaning,Not available
SC744093,CLEANING SERVICES GLASGOW LTD,active,,81210,"2/3 48 West George Street, Glasgow, G2 1BP, Scotland",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15881181,CLEANING SERVICES LEEDS LTD,active,,"81210, 81299","Unit 1 12 Thorpe Street, Leeds, West Yorkshire, LS10 4EZ, United Kingdom","BIBI, Suraj (Age: 56, Appointed: 2024-08-06); HUSSAIN, Maqsood (Age: 55, Appointed: 2024-08-06)",,Not available,Not available,Not available,Cleaning,Not available
14108632,CLEANING SERVICES NATIONWIDE LIMITED,active,,81210,"86 Gadbury Fold, Atherton, Manchester, M46 0GX, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15248061,CLEANING SERVICES NEAR ME LTD,active,,"81210, 81222, 81229, 81299","3 Curtis Road, Hemel Hempstead, HP3 8LE, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
16072790,CLEANING SERVICES OF ASCOT LTD,active,,81210,"G02 Terriers House, Amersham Road, High Wycombe, Buckinghamshire, HP13 5AJ, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14250960,CLEANING SERVICES RODICA LIMITED,dissolved,,81210,"Flat 2-3 & 5-8 36 Alexandra Road, Southport, PR9 9HH, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
11136805,CLEANING SERVICES STYLE LTD,active,,81210,"Flat 8 Green Lanes, London, N13 5UW, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14187416,CLEANING SERVICES LO LIMITED,dissolved,,81210,"6 Thorpe Road, Leeds, LS10 4BA, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
11636786,CLEANING SERVICES TORBAY LTD,dissolved,,"81210, 81221, 81299","255 Trevelyan Drive, Newcastle, Tyne And Wear, NE5 4DA, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14115452,CLEANING SERVICES CATALIN LTD,dissolved,,"41201, 81210","20 Orchard Street, Boston, Uk, PE21 8PL, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13811973,CLEANING SERVICES 24/7 LTD,dissolved,,"81210, 81221, 81222, 81299","Office 5 The Round House, Dormans Park Road, East Grinstead, West Sussex, RH19 2EN, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13649143,CLEANING SERVICES MANCHESTER LIMITED,dissolved,,81210,"58a Camberwell Drive, Ashton-Under-Lyne, Greater Manchester, OL7 9SN, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13092394,CLEANING SERVICES WINCHESTER LIMITED,dissolved,,81210,"PO BOX 400 Chilbolton Avenue, Winchester, SO22 5HD, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
11649754,CLEANING SERVICES MR COUTO LIMITED,dissolved,,81210,"14 Llewellyn Street, Tupman House, London, SE16 4UX, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
11707291,CLEANING SERVICES NOW LTD,dissolved,,81210,"147 Station Road, North Chingford, London, E4 6AG, United Kingdom","MILLER, Horace (Age: 53, Appointed: 2018-12-03)",,Not available,Not available,Not available,Cleaning,Not available
11025120,CLEANING SERVICES 2017 LTD,dissolved,,81210,"32 Coopersale Common 32 Coopersale Common, Coopersale, Epping, CM16 7QS, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
08373822,CLEANING SERVICES LONDON LTD,dissolved,,81210,"65b King Charles Road, Surbiton, Surrey, KT5 8PG, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
05206193,CONTRACT SERVICES (NORFOLK) LIMITED,active,,81210,"Norfolk House, 24 Market Place, Swaffham, Norfolk, PE37 7QH, England","MINNS, Gavin Brent (Age: 57, Appointed: 2023-03-17); MINNS, Julie Anne (Age: 56, Appointed: 2022-03-01)",,Not available,Not available,Not available,Cleaning,Not available
10434254,CLEANING SERVICE SOLUTIONS LTD,active,,81210,"43 Murray Square, London, E16 3AH, England","NIKOLOV, Tsacho Markov (Age: 59, Appointed: 2018-11-28)",,Not available,Not available,Not available,Cleaning,Not available
08159350,CLEANING SERVICE STYLE LTD,active,,81210,"46 Freshfield Drive, London, N14 4QW, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14499520,AAA CLEANING SERVICES LTD,active,,81210,"106 Coplow Street, Birmingham, B16 0DL, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13414784,AA CLEANING SERVICES SOUTHEND LTD,active,,"81210, 81221","1st Floor 6 Nelson Street, Southend-On-Sea, SS1 1EF, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15006176,AA COLCHESTER CLEANING SERVICES LTD,active,,"81210, 81221, 81299","196 Berechurch Hall Road, Colchester, Essex, CO2 9PN, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14099640,AAF CLEANING SERVICES LIMITED,active,,"81210, 81221, 81222, 81299","30 Petworth Court, Bath Road, Reading, Berkshire, RG1 6PH",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15691831,AAMEVOL CLEANING SERVICES LTD,active,,"81210, 81229, 81299","Suite F3 3 Trinity Gardens, 9-11 Bromham Road, Bedford, MK40 2BP, United Kingdom","PATEL, Jayeshkumar Kantibhai (Age: 54, Appointed: 2024-04-29)",,Not available,Not available,Not available,Cleaning,Not available
15297232,A & A TOWN AND COUNTRYSIDE CLEANING SERVICES LIMITED,active,,"81210, 81299","80 Kiln Ride, Finchampstead, Wokingham, RG40 3PH, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
12439313,A&B CLEANING SERVICES P LTD,active,,"81210, 81221, 81229, 81299","5, Margetts Road Margetts Road, Kempston, Bedford, MK42 8DS, England","BULANCEA, Adrian (Age: 57, Appointed: 2020-02-03)",,Not available,Not available,Not available,Cleaning,Not available
06636973,A & D CLEANING SERVICES LIMITED,active,,81210,"Catam Thorpe Bank, Fylinghorpe, Whitby, North Yorkshire, YO22 4UA, United Kingdom","BARROWMAN, Anne (Age: 74, Appointed: 2008-07-03)",,Not available,Not available,Not available,Cleaning,Not available
14917534,A&D CLEANING SERVICES (SOUTH WEST) LTD,active,,"81210, 81221, 81222, 81229","17 Carisbrooke Road, Melksham, Wiltshire, SN12 6BS, England","WILLIAMS, Alun John (Age: 60, Appointed: 2023-06-06); WILLIAMS, Jacqueline (Age: 57, Appointed: 2023-10-30)",,Not available,Not available,Not available,Cleaning,Not available
12160222,A&H CLEANING SERVICES LTD,active,,81210,"121 Lark Lane, Liverpool, L17 8UR, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13234908,A& I CLEANING SERVICES LTD,active,,81210,"Flat 1 12 Ryland Street, Birmingham, B16 8BP, England","MBENGO, Apho (Age: 54, Appointed: 2021-03-01)",,Not available,Not available,Not available,Cleaning,Not available
15616435,A&K CLEANING AND SERVICES LTD,active,,"81210, 81222, 81299","5 Doric Close, Manchester, M11 3QL, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14393944,A&M CLEANING SERVICES LTD,dissolved,,"81210, 81222, 81229, 81299","Flat 6 135 St James Road, Croydon, London, CR0 2UW, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13008495,A&P PROFESSIONAL CLEANING SERVICES LTD,active,,"43390, 81210, 81299","32 Justin Close, Brentford, TW8 8QA, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
15970861,A&R CLEANING SERVICES LTD,active,,81210,"29 Charminster Road, London, SE9 4BU, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13001667,A&R PROFESSIONAL CLEANING SERVICES LTD,dissolved,,"81210, 81299","5 Rider Road, Leeds, LS6 2LF, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13657822,A & S CLEANING SERVICES LTD,active,,"81210, 81221","1 Peach Street, Wokingham, RG40 1XJ, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
11761701,A & S NEWTON CLEANING SERVICES LTD,active,,"81210, 81222, 81299","T/A The Clean Police Suite 221 Prospect House, Factory Road, Sandycroft, Deeside, Flintshire, CH5 2QJ, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
14979957,A&S TOP CLEANING SERVICES LTD,active,,"81210, 81221, 81222, 81229","89 Overstone Road, Luton, LU4 8QY, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
13437986,A&T CLEANING SERVICES LTD,active,,"81210, 81222, 81299","8 Montgomery Drive, Tavistock, Devon, PL19 8JU, United Kingdom",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
10955876,A APPROVED CLEANING SERVICES LTD,active,,81210,"Caenant House, Mill Road, Caerphilly, CF83 3FE, Wales","JONES, Amanda Jane (Age: 55, Appointed: 2017-09-11)",,Not available,Not available,Not available,Cleaning,Not available
15330881,AAT CLEANING SERVICES LTD,active,,81210,"20 Wenlock Road, London, N1 7GU, England",No eligible directors,,Not available,Not available,Not available,Cleaning,Not available
06456182,ABBOTTS CONTRACT CLEANING SERVICES LTD,active,,81210,"124 Abbotts Road, Cheam, Surrey, SM3 9SX","BRUSH, Diane (Age: 73, Appointed: 2007-12-18)",,Not available,Not available,Not available,Cleaning,Not available
15571104,ABICHEM CONSTRUCTION AND CLEANING SERVICES LIMITED,active,,"41202, 81210","13 St. Giles House, St.Giles Road, London, SE5 7UD, United Kingdom","ADEOLA-COKER, Oluwakemi (Age: 55, Appointed: 2024-03-17)",,Not available,Not available,Not available,Cleaning,Not available
07045160,ABIS CLEANING SERVICES LTD,active,,81210,"109 Coleman Road, Leicester, LE5 4LE","SOLOMONS, Ian David (Age: 68, Appointed: 2009-10-15)",,Not available,Not available,Not available,Cleaning,Not available
14588742,ABOS CLEANING SERVICES LTD,active,,81210,"Office 3323 321-323 High Road, Chadwell Heath, Essex, RM6 6AX, United Kingdom","ALI, Abukar Awow (Age: 57, Appointed: 2023-01-12)",,Not available,Not available,Not available,Cleaning,Not available
