company_number,company_name,company_status,incorporation_date,sic_codes,registered_office_address,number_of_active_directors_over_50,company_type,companies_house_turnover,hmrc_turnover,last_accounts_date,category,vat_number
08531266,CLEANING & ENVIRONMENTAL SOLUTIONS LTD,active,2013-05-16,81210,"163 Palmerston Street, Westwood, Nottingham, Nottinghamshire, NG16 5HZ",3,ltd,Not available,"£1,435,506.38",Not available,Cleaning,GB08531266
05577023,CLEANING & HYGIENE SERVICES LTD,active,2005-09-28,81210,"Hillcrest Bryngwilym, Ystrad, Pentre, CF41 7RU, Wales",1,ltd,Not available,"£1,946,136.25",Not available,Cleaning,GB05577023
15253733,BABA CLEANING OF BUILDINGS AND LANDSCAPING LTD,active,2023-11-01,"81210, 81229, 81299","32 Culworth Court, Coventry, CV6 5JY, England",1,ltd,Not available,"£1,170,088.53",Not available,Cleaning,GB15253733
15317607,GENERAL CLEANING OF BUILDINGS RMO LIMITED,active,2023-11-29,81210,"19 Trafford Terrace, Leeds, LS9 6BQ, England",1,private-limited-guarant-nsc,Not available,"£1,630,700.54",Not available,Cleaning,GB15317607
07692479,BRISTOL OFFICE CLEANING SPECIALISTS LIMITED,active,2011-07-04,81210,"179 South Liberty Lane, Bristol, BS3 2TN",2,ltd,Not available,"£1,835,975.38",Not available,Cleaning,GB07692479
02548889,CLEANING FORCE (OFFICE CLEANERS) LIMITED,active,1990-10-16,81210,"Meridian House, Unit 25 Road One, Winsford Industrial Estate, Winsford, Cheshire, CW7 3QG, England",2,ltd,Not available,"£1,961,347.91",Not available,Cleaning,GB02548889
15448307,DB OFFICE & RESIDENTIAL CLEANING LTD,active,2024-01-28,"81210, 81299","17 Earl Street, Northampton, NN1 3AU, England",1,ltd,Not available,"£1,098,988.05",Not available,Cleaning,GB15448307
12196525,WASTE COLLECTION AND CLEANING LTD,active,2019-09-09,"38110, 81229","9 East Road, Tipton, West Midlands, DY4 0XG, United Kingdom",1,ltd,Not available,"£1,231,300.21",Not available,Waste Management,GB12196525
15380232,A.L.L. WASTE COLLECTION LTD,active,2024-01-02,38110,"31 Rosebery Road, Cromer, NR27 0BX, England",2,ltd,Not available,"£1,213,351.97",Not available,Waste Management,GB15380232
13424738,COLCHESTER WASTE COLLECTION LIMITED,active,2021-05-27,38110,"31 Broomfield House Lanswoodpark, Colchester, Essex, CO7 7FD, United Kingdom",1,ltd,Not available,"£1,202,539.74",Not available,Waste Management,GB13424738
13473226,ENVIRONMENTAL WASTE COLLECTIONS LIMITED,active,2021-06-23,38110,"Springhaven, 1a Barnfield Close, Hastings, East Sussex, TN34 1TS, England",1,ltd,Not available,"£1,451,976.24",Not available,Waste Management,GB13473226
16107357,H & M HOLIDAY WASTE COLLECTIONS LTD,active,2024-11-28,38110,"Negys Gorthybow Schooners Business Park, Bess Park Road, Wadebridge, Cornwall, PL276HB, England",3,ltd,Not available,"£1,681,411.55",Not available,Waste Management,GB16107357
11294789,HOLIDAY HOME WASTE COLLECTION LTD,active,2018-04-05,38110,"Trerice Orchard, Burlawn, Wadebridge, Cornwall, PL27 7LE, England",1,ltd,Not available,"£1,246,443.46",Not available,Waste Management,GB11294789
06350694,STAN ELLIS WASTE PAPER COLLECTIONS LIMITED,active,2007-08-22,38110,"Crows Nest Farm, Crawshaw Lane, Barnsley Road, Flockton, WF4 4BY",1,ltd,Not available,"£1,318,922.61",Not available,Waste Management,GB06350694
06766572,WASTE MANAGEMENT (NW) LIMITED,active,2008-12-05,38110,"14-16 Balls Road, Oxton, Wirral, CH43 5RE",1,ltd,Not available,"£1,800,892.50",Not available,Waste Management,GB06766572
13861463,POTTER'S HAZARDOUS WASTE SERVICES LTD,active,2022-01-20,38120,"4 Cedar Grove, Hempstead, Gillingham, Kent, ME7 3QT, England",1,ltd,Not available,"£1,949,112.99",Not available,Waste Management,GB13861463
12040775,GEMINOR WASTE TREATMENT UK LIMITED,active,2019-06-10,38210,"Borough House, Borough Road, Newcastle, ST5 1TT, England",1,ltd,Not available,"£1,622,391.05",Not available,Waste Management,GB12040775
00930757,ARNOLD WASTE DISPOSAL LIMITED,active,1968-04-19,"38210, 82990","3 Sidings Court, White Rose Way, Doncaster, DN4 5NU, England",2,ltd,Not available,"£1,675,015.83",Not available,Waste Management,GB00930757
02692495,BDR WASTE DISPOSAL LIMITED,active,1992-03-02,"38210, 82990","3 Sidings Court, White Rose Way, Doncaster, DN4 5NU, England",2,ltd,Not available,"£1,983,776.20",Not available,Waste Management,GB02692495
02690488,THE COVENTRY AND SOLIHULL WASTE DISPOSAL COMPANY LIMITED,active,1992-02-24,"35110, 38210, 39000","The Waste To Energy Plant, Bar Road, Coventry, West Midlands, CV3 4AN",5,ltd,Not available,"£1,622,535.53",Not available,Waste Management,GB02690488
02660628,CYNON VALLEY WASTE DISPOSAL COMPANY LIMITED,active,1991-11-06,38210,"Bryn Pica, Llwydcoed, Aberdare, Rhondda Cynon Taff, CF44 0BX",3,ltd,Not available,"£1,876,467.47",Not available,Waste Management,GB02660628
14711178,THE HAZARDOUS WASTE COMPANY LTD,active,2023-03-07,38220,"Mcgovern House, Amberley Way, Hounslow, Middlesex, TW4 6BH, United Kingdom",1,ltd,Not available,"£1,292,406.40",Not available,Waste Management,GB14711178
SC785791,EARLS GATE WASTE TREATMENT LIMITED,active,2023-10-12,38220,"Earls Road, Grangemouth, FK3 8XG, United Kingdom",1,ltd,Not available,"£1,632,419.26",Not available,Waste Management,GBSC785791
