company_number,company_name,company_status,incorporation_date,sic_codes,registered_office_address,active_directors_over_50,company_type,companies_house_turnover,hmrc_turnover,last_accounts_date,category,vat_number
14938300,AAA CLEANING SOLUTIONS LTD,active,2023-06-15,81222,"Legacy House Bowburn North Industrial Estate, Bowburn, Durham, DH6 5PF, England","TUCKER, Richard Hamlyn (Age: 66)",ltd,Not available,"£147,697,624.76",Not available,Cleaning,GB14938300
8388155,AAA OVEN CLEANING LIMITED,active,2013-02-04,81222,"8 Hinstock Close, Wolverhampton, WV4 5SB, United Kingdom","COOKSON, Gerry (Age: 55); ADEY, John Edward (Age: 70)",ltd,Not available,"£4,053,725.12",Not available,Cleaning,GB08388155
SC790421,AAA SPANISH CLEANING SUPPLIES LTD,active,2023-11-24,81299,"8 Speyburn Place, Airdrie, ML6 6GF, Scotland","SOMMERVILLE, Alan Walkinshaw (Age: 58)",private-limited-guarant-nsc,Not available,"£121,410,968.85",Not available,Cleaning,GBSC790421
3228187,A. A. CHEMICAL CLEANING COMPANY LIMITED,active,1996-07-23,81222,"Unit 3, Barton Business Park, Cawdor Street, Eccles, Manchester, M30 0QR, England","STENSTROM, Paul Joseph (Age: 61); CHARNOCK, Keith Thomas (Age: 78); HALL PATTERSON, Iain James (Age: 65); PEARSON, Anthony Frederick (Age: 78)",ltd,Not available,"£25,408,462.77",Not available,Cleaning,GB03228187
14996625,AA CLEANING & MAINTENANCE SERVICES LTD,active,2023-07-11,81299,"The Flat, The Rake & Riddle Penclawdd Road, Penclawdd, Swansea, West Glamorgan, SA4 3RB, United Kingdom","ABRAMSON, Andrew (Age: 58)",ltd,Not available,"£5,993,586.71",Not available,Cleaning,GB14996625
8072294,AA CLEANING SERVICES (SOUTH) LIMITED,active,2012-05-17,81299,"92 Friern Gardens, Wickford, Essex, SS12 0HD","GIPSON, Michaela (Age: 59)",ltd,Not available,"£8,859,119.70",Not available,Cleaning,GB08072294
15958847,AA COMMERCIAL BIN CLEANING LTD,active,2024-09-16,81222,"14 Carnweather Court, Tattenhoe, Milton Keynes, MK4 3DL, England","BERNARD, Ayesha Miranda (Age: 50); CLORES, Anna (Age: 62)",ltd,Not available,"£27,401,426.16",Not available,Cleaning,GB15958847
15691831,AAMEVOL CLEANING SERVICES LTD,active,2024-04-29,"81210, 81229, 81299","Suite F3 3 Trinity Gardens, 9-11 Bromham Road, Bedford, MK40 2BP, United Kingdom","PATEL, Jayeshkumar Kantibhai (Age: 54)",ltd,Not available,"£5,297,611.75",Not available,Cleaning,GB15691831
14370472,A&A CARE AND CLEANING SERVICES LTD,active,2022-09-22,87300,"Flat 405 Tolhurst Apartments,, 35, Artillery Place,, Woolwich,, London, SE18 4EG, United Kingdom","OLUNDEGUN, Wakeel Ajao (Age: 59)",ltd,Not available,"£21,186,220.18",Not available,Cleaning,GB14370472
9808602,A & A CLEANING MANCHESTER LTD,active,2015-10-04,81229,"Rico House George Street, Prestwich, Manchester, M25 9WS, England","GRIM, Alan David (Age: 72); GRIM, Alison (Age: 63); ADAM, Peter Paul (Age: 68)",ltd,Not available,"£657,905,321.94",Not available,Cleaning,GB09808602
5532391,A & B CLEANING SERVICES LIMITED,active,2005-08-09,43390,"35 Midland Avenue, Stapleford, Nottingham, Nottinghamshire, NG9 7BT","BOWLEY, Paul Anthony (Age: 66); TORRANCE, Janet Allan (Age: 63)",ltd,Not available,"£40,236,532.84",Not available,Cleaning,GB05532391
12439313,A&B CLEANING SERVICES P LTD,active,2020-02-03,"81210, 81221, 81229, 81299","5, Margetts Road Margetts Road, Kempston, Bedford, MK42 8DS, England","BULANCEA, Adrian (Age: 57)",ltd,Not available,"£32,177,109.31",Not available,Cleaning,GB12439313
5976687,A & B INDUSTRIAL CLEANING LIMITED,active,2006-10-24,81222,"The Rookery, Mainsforth, Ferryhill, Co Durham, DL17 9AA","ALLPORT, David (Age: 76)",ltd,Not available,"£42,701,248.84",Not available,Cleaning,GB05976687
12279719,A&C DIAMOND CLEANING SERVICES LTD,active,2019-10-24,81222,"Spicer & Co, Staple House, 5 Eleanors Cross, Dunstable, Bedfordshire, LU6 1SU, England","DALY, Andrew (Age: 54)",ltd,Not available,"£15,322,959.29",Not available,Cleaning,GB12279719
SC560847,A&DC CLEANING SERVICE LTD,active,2017-03-17,"81210, 81222","68 Wester Drylaw Drive, Edinburgh, EH4 2ST, Scotland","GRZONKA, Daniel Piotr (Age: 50)",ltd,Not available,"£28,970,239.32",Not available,Cleaning,GBSC560847
6636973,A & D CLEANING SERVICES LIMITED,active,2008-07-03,81210,"Catam Thorpe Bank, Fylinghorpe, Whitby, North Yorkshire, YO22 4UA, United Kingdom","BARROWMAN, Anne (Age: 74); ROBINSON, Dale (Age: 79); ROBINSON, Dale (Age: 79); STEPHENS, Nicholas Charles (Age: 55)",ltd,Not available,"£28,762,737.66",Not available,Cleaning,GB06636973
14917534,A&D CLEANING SERVICES (SOUTH WEST) LTD,active,2023-06-06,"81210, 81221, 81222, 81229","17 Carisbrooke Road, Melksham, Wiltshire, SN12 6BS, England","WILLIAMS, Alun John (Age: 60); WILLIAMS, Jacqueline (Age: 57)",ltd,Not available,"£44,087,951.30",Not available,Cleaning,GB14917534
